source,title,description,url,date,collected_at
"JSONPlaceholder (Test)","sunt aut facere repellat provident occaecati excepturi optio reprehenderit","quia et suscipit
suscipit recusandae consequuntur expedita et cum
reprehenderit molestiae ut ut quas totam
nostrum rerum est autem sunt rem eveniet architecto","https://jsonplaceholder.typicode.com/posts/1","2026-08-31T10:00:00.132Z","2026-08-31T10:00:00.133Z"
"JSONPlaceholder (Test)","qui est esse","est rerum tempore vitae
sequi sint nihil reprehenderit dolor beatae ea dolores neque
fugiat blanditiis voluptate porro vel nihil molestiae ut reiciendis
qui aperiam non debitis possimus qui neque nisi nulla","https://jsonplaceholder.typicode.com/posts/2","2026-08-31T10:00:00.133Z","2026-08-31T10:00:00.133Z"
"JSONPlaceholder (Test)","ea molestias quasi exercitationem repellat qui ipsa sit aut","et iusto sed quo iure
voluptatem occaecati omnis eligendi aut ad
voluptatem doloribus vel accusantium quis pariatur
molestiae porro eius odio et labore et velit aut","https://jsonplaceholder.typicode.com/posts/3","2026-08-31T10:00:00.133Z","2026-08-31T10:00:00.133Z"
"JSONPlaceholder (Test)","eum et est occaecati","ullam et saepe reiciendis voluptatem adipisci
sit amet autem assumenda provident rerum culpa
quis hic commodi nesciunt rem tenetur doloremque ipsam iure
quis sunt voluptatem rerum illo velit","https://jsonplaceholder.typicode.com/posts/4","2026-08-31T10:00:00.133Z","2026-08-31T10:00:00.133Z"
"JSONPlaceholder (Test)","nesciunt quas odio","repudiandae veniam quaerat sunt sed
alias aut fugiat sit autem sed est
voluptatem omnis possimus esse voluptatibus quis
est aut tenetur dolor neque","https://jsonplaceholder.typicode.com/posts/5","2026-08-31T10:00:00.133Z","2026-08-31T10:00:00.133Z"
"DER Sénégal","Notre mission","[rev_slider alias=""blur-effect-slider""][/rev_slider]
			
				
				
			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				Notre missionCréée par décret n° 2017-2123 du 15 novembre 2017, la Délégation générale à l’Entreprenariat Rapide des Femmes et des Jeunes (DER/FJ) a pour mission l’impulsion et la promotion de l’entreprenariat des femmes et des jeunes, à travers notamment :


La définition et la mise en œuvre de stratégies de promotion de l’auto-emploi de","https://www.der.sn/la-der-fj/","11 août 2026","2026-08-31T10:00:14.899Z"
"DER Sénégal","PAVIE: AVIS À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-avis-a-manifestation-dinteret/","","2026-08-31T10:00:14.899Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-appel-a-manifestation-dinteret-3/","","2026-08-31T10:00:14.900Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | À la une, Appels à manifestation d'intérêt","https://www.der.sn/pavie-appel-a-manifestation-dinteret-2/","","2026-08-31T10:00:14.900Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-appel-a-manifestation-dinteret/","","2026-08-31T10:00:14.900Z"
"DER Sénégal","𝐏𝐀𝐀𝐈𝐂𝐄: 𝐀𝐯𝐢𝐬 𝐝’𝐀𝐩𝐩𝐞𝐥 𝐝’𝐎𝐟𝐟𝐫𝐞𝐬","Juin 23, 2025 | À la une, Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/%f0%9d%90%8f%f0%9d%90%80%f0%9d%90%80%f0%9d%90%88%f0%9d%90%82%f0%9d%90%84-%f0%9d%90%80%f0%9d%90%af%f0%9d%90%a2%f0%9d%90%ac-%f0%9d%90%9d%f0%9d%90%80%f0%9d%90%a9%f0%9d%90%a9%f0%9d%90%9e/","","2026-08-31T10:00:14.900Z"
"ARCOP (ex-ARMP) Sénégal","PPP ET FONDS DE PLACEMENT A RISQUE :La transparence, autre condition de l’investissement privé","Au Forum de l’emploi et de l’entrepreneuriat de SeptAfrique Groupe qui s’est tenu récemment à Dakar, le Directeur général de l’ARCOP a établi un (...)","https://www.achatspublics.sn/","","2026-08-31T10:00:20.347Z"
"ARCOP (ex-ARMP) Sénégal","PPP ET FONDS DE PLACEMENT A RISQUE :La transparence, autre condition de l’investissement privé","Au Forum de l’emploi et de l’entrepreneuriat de SeptAfrique Groupe qui s’est tenu récemment à Dakar, le Directeur général de l’ARCOP a établi un (...)","https://arcop.sn/2026/08/24/ppp-et-fonds-de-placement-a-risque-la-transparence-autre-condition-de-linvestissement-prive/","","2026-08-31T10:00:20.347Z"
"ARCOP (ex-ARMP) Sénégal","NOUVEL ORGANIGRAMME DE L’ARCOP : Une architecture pour porter le Renouveau de la commande publique","En réorganisant ses structures autour du numérique, de la régulation, de la performance, de la professionnalisation, des partenariats public privé (PPP), des achats publics (...)","https://arcop.sn/2026/08/24/nouvel-organigramme-de-larcop-une-architecture-pour-porter-le-renouveau-de-la-commande-publique/","","2026-08-31T10:00:20.348Z"
"ARCOP (ex-ARMP) Sénégal","DELAIS, PENALITES, INTERETS MORATOIRES, REVISION DES PRIX ET RESILIATION :Vingt acteurs du programme FORCE-N et de l’UNCHK formés par l’ARCOP","La bonne exécution d’un marché public ne s’arrête pas à son attribution. Une fois le contrat signé, d’autres exigences commencent. Il s’agit notamment du (...)","https://arcop.sn/2026/08/21/gestion-des-contrats-larcop-renforce-les-competences-de-lunchk-et-de-force-n/","","2026-08-31T10:00:20.348Z"
"Banque Mondiale","Liberia: Rural Economic Transformation Project","Liberia","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164784","August 28, 2026","2026-08-31T10:00:40.034Z"
"Banque Mondiale","Design, supply and installation of Linear accelerators","Serbia","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00446991","August 28, 2026","2026-08-31T10:00:40.035Z"
"Banque Mondiale","Quality Assurance Expert","Ukraine","https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00453960","August 28, 2026","2026-08-31T10:00:40.035Z"
