id,source,source_type,title,description,url,date_original,date_normalized,country,sectors,has_description,has_date,quality_score,collected_at,target_audience,experience_required,budget_range,urgency,complexity_level,suggested_profiles
3ae6ec5b6c7d,DER Sénégal,national,Notre mission,"Notre missionCréée par décret n° 2017-2123 du 15 novembre 2017, la Délégation générale à l’Entreprenariat Rapide des Femmes et des Jeunes (DER/FJ) a pour mission l’impulsion et la promotion de l’entreprenariat des femmes et des jeunes, à travers notamment : La définition et la mise en œuvre de stratégies de promotion de l’auto-emploi de",https://www.der.sn/la-der-fj/,11 août 2026,2026-08-11,Sénégal,technologie,oui,oui,90,2026-09-04T13:05:14.429Z,Tout public,Confirmé,Non spécifié,Expirée,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
ea4702cff10a,DER Sénégal,national,PAVIE: AVIS À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-avis-a-manifestation-dinteret/,,,Sénégal,non classifié,oui,non,65,2026-09-04T13:05:14.430Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
c9b7735506d2,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-appel-a-manifestation-dinteret-3/,,,Sénégal,non classifié,oui,non,65,2026-09-04T13:05:14.430Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
70b620a15e8e,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | À la une, Appels à manifestation d'intérêt",https://www.der.sn/pavie-appel-a-manifestation-dinteret-2/,,,Sénégal,non classifié,oui,non,65,2026-09-04T13:05:14.431Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
89c0698e31cd,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-appel-a-manifestation-dinteret/,,,Sénégal,non classifié,oui,non,65,2026-09-04T13:05:14.431Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
16057461ece6,DER Sénégal,national,𝐏𝐀𝐀𝐈𝐂𝐄: 𝐀𝐯𝐢𝐬 𝐝’𝐀𝐩𝐩𝐞𝐥 𝐝’𝐎𝐟𝐟𝐫𝐞𝐬,"Juin 23, 2025 | À la une, Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/%f0%9d%90%8f%f0%9d%90%80%f0%9d%90%80%f0%9d%90%88%f0%9d%90%82%f0%9d%90%84-%f0%9d%90%80%f0%9d%90%af%f0%9d%90%a2%f0%9d%90%ac-%f0%9d%90%9d%f0%9d%90%80%f0%9d%90%a9%f0%9d%90%a9%f0%9d%90%9e/,,,Sénégal,non classifié,oui,non,65,2026-09-04T13:05:14.431Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
273b9d0e0b5c,ARCOP (ex-ARMP) Sénégal,national,PROJET MOBILIER NATIONAL : L’ARCOP renforce l’accompagnement des acteurs locaux,"Le Projet du mobilier national (PMN) a offert une formation de trois jours à une quarantaine d’artisans de la région de Ziguinchor (sud), pour (...)",https://www.achatspublics.sn/,,,Sénégal,éducation,oui,non,85,2026-09-04T13:05:20.612Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_education, consultant_formation, pedagogie, expert_afrique_ouest"
e7dda53992c0,ARCOP (ex-ARMP) Sénégal,national,PROJET MOBILIER NATIONAL : L’ARCOP renforce l’accompagnement des acteurs locaux,"Le Projet du mobilier national (PMN) a offert une formation de trois jours à une quarantaine d’artisans de la région de Ziguinchor (sud), pour (...)",https://arcop.sn/2026/09/04/projet-mobilier-national-larcop-renforce-laccompagnement-des-acteurs-locaux/,,,Sénégal,éducation,oui,non,85,2026-09-04T13:05:20.613Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_education, consultant_formation, pedagogie, expert_afrique_ouest"
63ecce9d7abd,ARCOP (ex-ARMP) Sénégal,national,SAVE THE DATE : La Guinée sollicite l’expertise du Sénégal dans sa transition vers l’ARCOP,"Une délégation de onze membres de l’Autorité de régulation des marchés publics de Guinée, de la Direction générale du contrôle des marchés, du Conseil (...)",https://arcop.sn/2026/08/31/save-the-date-la-guinee-sollicite-lexpertise-du-senegal-dans-sa-transition-vers-larcop/,,,Sénégal,"technologie, gouvernance, commerce",oui,non,85,2026-09-04T13:05:20.614Z,Public,Expert,Non spécifié,Normale,2,"expert_tech, consultant_digital, developpeur, it_manager, expert_gouvernance, consultant_public, administrateur, expert_commerce, consultant_export, business_dev, expert_afrique_ouest"
a221bf7dd6bd,ARCOP (ex-ARMP) Sénégal,national,"PPP ET FONDS DE PLACEMENT A RISQUE :La transparence, autre condition de l’investissement privé","Au Forum de l’emploi et de l’entrepreneuriat de SeptAfrique Groupe qui s’est tenu récemment à Dakar, le Directeur général de l’ARCOP a établi un (...)",https://arcop.sn/2026/08/24/ppp-et-fonds-de-placement-a-risque-la-transparence-autre-condition-de-linvestissement-prive/,,,Sénégal,technologie,oui,non,85,2026-09-04T13:05:20.615Z,Startup,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest, consultant_pme, accompagnement_startup"
d55451a640ad,ADEPME,national,Learn more about our consulting plans.,Lundi – Venvredi: 8h – 17h,https://adepme.sn/,,,Sénégal,non classifié,oui,non,55,2026-09-04T13:05:27.255Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
02bec1d2f672,ADEPME,national,Learn more about our consulting plans.,,https://www.adepme.sn/#,Learn more about our consulting plans.,,Sénégal,non classifié,non,non,45,2026-09-04T13:05:27.302Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
a28ee6ee1200,ADEPME,national,Learn more about our consulting plans.,,https://www.adepme.sn/,Learn more about our consulting plans.,,Sénégal,non classifié,non,non,45,2026-09-04T13:05:27.330Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
7cd7137e6b4b,ADEPME,national,Business Management,,https://www.adepme.sn/#,,,Sénégal,"commerce, industrie",non,non,45,2026-09-04T13:05:27.332Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_commerce, consultant_export, business_dev, ingenieur_industriel, expert_production, qualite, expert_afrique_ouest"
9924736067a5,ADEPME,national,Business Management,,https://www.adepme.sn/,,,Sénégal,"commerce, industrie",non,non,45,2026-09-04T13:05:27.333Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_commerce, consultant_export, business_dev, ingenieur_industriel, expert_production, qualite, expert_afrique_ouest"
50dabd451045,ADEPME,national,Best Planner,,https://www.adepme.sn/#,,,Sénégal,non classifié,non,non,35,2026-09-04T13:05:27.333Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
d5e0ebe81041,ADEPME,national,Best Planner,,https://www.adepme.sn/,,,Sénégal,non classifié,non,non,35,2026-09-04T13:05:27.333Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
d88620b09b0a,ADEPME,national,Nos services,,https://www.adepme.sn/,,,Sénégal,non classifié,non,non,35,2026-09-04T13:05:27.343Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
9bcd82cd62c4,ADEPME,national,Nous couvrons l’ensemble du cycle de vie de l’entreprise,,https://adepme.sn/service/formalisation-structuration/,Nous couvrons l’ensemble du cycle de vie de l’entreprise,,Sénégal,non classifié,non,non,45,2026-09-04T13:05:27.345Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
bb9528ac4483,ADEPME,national,Nous couvrons l’ensemble du cycle de vie de l’entreprise,,https://www.adepme.sn/,Nous couvrons l’ensemble du cycle de vie de l’entreprise,,Sénégal,non classifié,non,non,45,2026-09-04T13:05:27.347Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
057c8eb7a77b,ADEPME,national,Formalisation & Structuration,,https://adepme.sn/service/formalisation-structuration/,+,,Sénégal,non classifié,non,non,45,2026-09-04T13:05:27.348Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
df89030a4bf6,ADEPME,national,Développement des compétences,,https://adepme.sn/service/developpement-competences/,+,,Sénégal,non classifié,non,non,45,2026-09-04T13:05:27.350Z,Tout public,Confirmé,Non spécifié,Normale,2,expert_afrique_ouest
ae78629fc6c9,ADEPME,national,Accès au Financement & Croissance,,https://adepme.sn/service/acces-financement-croissance/,+,,Sénégal,finance,non,non,55,2026-09-04T13:05:27.351Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_finance, consultant_finance, comptable, auditeur, expert_afrique_ouest"
ce42b9634e67,ADEPME,national,Intelligence Économique,,https://adepme.sn/service/intelligence-economique/,+,,Sénégal,non classifié,non,non,45,2026-09-04T13:05:27.352Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
