id,source,source_type,title,description,url,date_original,date_normalized,country,sectors,has_description,has_date,quality_score,collected_at,target_audience,experience_required,budget_range,urgency,complexity_level,suggested_profiles
3ae6ec5b6c7d,DER Sénégal,national,Notre mission,"Notre missionCréée par décret n° 2017-2123 du 15 novembre 2017, la Délégation générale à l’Entreprenariat Rapide des Femmes et des Jeunes (DER/FJ) a pour mission l’impulsion et la promotion de l’entreprenariat des femmes et des jeunes, à travers notamment : La définition et la mise en œuvre de stratégies de promotion de l’auto-emploi de",https://www.der.sn/la-der-fj/,11 août 2026,2026-08-11,Sénégal,technologie,oui,oui,90,2026-09-05T13:05:17.646Z,Tout public,Confirmé,Non spécifié,Expirée,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
ea4702cff10a,DER Sénégal,national,PAVIE: AVIS À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-avis-a-manifestation-dinteret/,,,Sénégal,non classifié,oui,non,65,2026-09-05T13:05:17.647Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
c9b7735506d2,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-appel-a-manifestation-dinteret-3/,,,Sénégal,non classifié,oui,non,65,2026-09-05T13:05:17.648Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
70b620a15e8e,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | À la une, Appels à manifestation d'intérêt",https://www.der.sn/pavie-appel-a-manifestation-dinteret-2/,,,Sénégal,non classifié,oui,non,65,2026-09-05T13:05:17.649Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
89c0698e31cd,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-appel-a-manifestation-dinteret/,,,Sénégal,non classifié,oui,non,65,2026-09-05T13:05:17.649Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
16057461ece6,DER Sénégal,national,𝐏𝐀𝐀𝐈𝐂𝐄: 𝐀𝐯𝐢𝐬 𝐝’𝐀𝐩𝐩𝐞𝐥 𝐝’𝐎𝐟𝐟𝐫𝐞𝐬,"Juin 23, 2025 | À la une, Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/%f0%9d%90%8f%f0%9d%90%80%f0%9d%90%80%f0%9d%90%88%f0%9d%90%82%f0%9d%90%84-%f0%9d%90%80%f0%9d%90%af%f0%9d%90%a2%f0%9d%90%ac-%f0%9d%90%9d%f0%9d%90%80%f0%9d%90%a9%f0%9d%90%a9%f0%9d%90%9e/,,,Sénégal,non classifié,oui,non,65,2026-09-05T13:05:17.649Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
57a8eb306881,ARCOP (ex-ARMP) Sénégal,national,"NOUVEAUX OUTILS POUR ALLEGER CERTAINES TACHES : A l’ARCOP, l’intelligence artificielle entre dans les pratiques de régulation","Au terme de plusieurs heures de formation réparties sur quatre sessions, les agents de l’ARCOP ont achevé, ce vendredi 4 septembre 2026, leur initiation (...)",https://www.achatspublics.sn/,,,Sénégal,"éducation, eau, technologie",oui,non,85,2026-09-05T13:05:23.795Z,Tout public,Confirmé,Non spécifié,Normale,2,"expert_education, consultant_formation, pedagogie, ingenieur_hydraulique, expert_eau, environnement, expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
25e8f9387644,ARCOP (ex-ARMP) Sénégal,national,"NOUVEAUX OUTILS POUR ALLEGER CERTAINES TACHES : A l’ARCOP, l’intelligence artificielle entre dans les pratiques de régulation","Au terme de plusieurs heures de formation réparties sur quatre sessions, les agents de l’ARCOP ont achevé, ce vendredi 4 septembre 2026, leur initiation (...)",https://arcop.sn/2026/09/04/nouveaux-outils-pour-alleger-certaines-taches-a-larcop-lintelligence-artificielle-entre-dans-les-pratiques-de-regulation/,,,Sénégal,"éducation, eau, technologie",oui,non,85,2026-09-05T13:05:23.796Z,Tout public,Confirmé,Non spécifié,Normale,2,"expert_education, consultant_formation, pedagogie, ingenieur_hydraulique, expert_eau, environnement, expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
282a07b322bd,ARCOP (ex-ARMP) Sénégal,national,FORMATION PPP : SENELEC se prépare à mieux maitriser ces contrats complexes,"La question des partenariats public privé prend une place croissante dans les projets d’infrastructures et de services publics. Pour la SENELEC, elle se pose (...)",https://arcop.sn/2026/09/04/formation-ppp-la-senelec-renforce-ses-equipes-avec-lappui-de-larcop/,,,Sénégal,"santé, éducation, infrastructure, technologie, gouvernance",oui,non,85,2026-09-05T13:05:23.797Z,Public,Confirmé,Non spécifié,Normale,4,"expert_sante, consultant_medical, gestionnaire_sante, expert_education, consultant_formation, pedagogie, ingenieur_civil, architecte, expert_infrastructure, expert_tech, consultant_digital, developpeur, it_manager, expert_gouvernance, consultant_public, administrateur, expert_afrique_ouest"
e7dda53992c0,ARCOP (ex-ARMP) Sénégal,national,PROJET MOBILIER NATIONAL : L’ARCOP renforce l’accompagnement des acteurs locaux,"Le Projet du mobilier national (PMN) a offert une formation de trois jours à une quarantaine d’artisans de la région de Tambacounda, pour les (...)",https://arcop.sn/2026/09/04/projet-mobilier-national-larcop-renforce-laccompagnement-des-acteurs-locaux/,,,Sénégal,éducation,oui,non,85,2026-09-05T13:05:23.798Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_education, consultant_formation, pedagogie, expert_afrique_ouest"
